Postcode,Average_total,Average_salary
3802,76083,59632
3803,72925,55644
3804,105265,61841
3805,76836,62744
3806,93249,67341
3807,98573,68546
3808,111769,65458
3809,82027,69009
3810,76746,62027
3812,84314,58759
3813,82336,61492
3814,80733,57974
3815,79579,58902
3816,78658,57339
3818,77409,57239
3820,84622,59886
3821,78716,54523
3822,79229,52140
3823,78439,59506
3824,84164,63187
3825,81081,64196
3831,81156,55430
3832,67344,45535
3833,68163,52115
3835,81985,52956
3840,80887,61524
3841,82148,58445
3842,79465,64013
3844,89865,71178
3847,75894,61952
3850,86584,66061
3851,82155,63140
3853,112284,85054
3854,89241,75561
3856,87291,72205
3857,74803,63889
3858,76584,59043
3859,75884,55255
3860,81564,61703
3862,78208,62738
3864,67389,47473
3865,68754,52432
3869,89257,70737
3870,79261,59137
3871,81049,58059
3873,72789,61115
3874,75360,56642
3875,74467,52663
3878,79031,48713
3880,78802,47081
3882,74071,54786
3885,67074,51408
3886,71971,55258
3887,65538,52002
3888,71999,49494
3889,57687,37381
3890,83590,51569
3891,81162,41357
3892,78082,41897
3895,64677,32953
3896,77570,50528
3898,68895,47398
3900,78538,36893
3902,70731,47901
3903,83824,49867
3904,79928,45652
3909,73623,49752
3910,83513,64882
3911,82436,57587
3912,84418,60910
3913,89273,59765
3915,78684,58640
3916,128996,51987
3918,81770,61404
3919,74322,59188
3920,75096,72174
3921,80786,36822
3922,75490,47070
3923,81714,46005
3925,79294,50613
3926,109925,56973
3927,99269,53200
3928,129436,48689
3929,131605,43725
3930,121720,68845
3931,92064,59063
3933,106432,55896
3934,100103,62951
3936,90323,55440
3937,118667,55981
3938,88720,51973
3939,77153,51822
3940,75210,45328
3941,80365,48936
3942,101993,48645
3943,199218,44493
3944,194314,44756
3945,82017,56293
3946,75072,48969
3950,76492,54135
3951,72320,46311
3953,78296,50404
3954,83138,49268
3956,76963,43367
3957,70124,45489
3958,72563,39835
3959,75554,42116
3960,79132,47559
3962,71314,54868
3964,64670,45664
3965,65205,45042
3966,72045,46942
3967,73794,38712
3971,72990,52288
3975,78225,66295
3976,69181,57535
3977,76676,62937
3978,78564,66337
3979,75929,49725
3980,82112,61002
3981,77256,56914
3984,74307,53634
3987,83537,58873
3988,74086,50314
3990,78331,49792
3991,67091,48351
3992,75215,54327
3995,72398,48667
3996,86901,53505
4000,96593,68873
4001,124423,65974
4002,107939,83369
4004,104394,73233
4005,134814,84419
4006,92484,71256
4007,151570,80759
4008,92105,62165
4009,119332,65496
4010,93925,74446
4011,128289,81052
4012,94548,75138
4013,91771,73869
4014,89306,72709
4017,87099,69568
4018,78137,64984
4019,81929,62087
4020,91161,63337
4021,75329,59418
4022,75488,59410
4025,63856,49588
4030,101633,78924
4031,97771,77527
4032,83426,64701
4034,85390,65996
4035,100541,74055
4036,79267,64069
4037,94112,75892
4051,111666,81949
4052,90822,74841
4053,91381,72334
4054,84852,68594
4055,92945,74480
4059,101517,77068
4060,125435,87213
4061,109182,79509
4064,125451,84231
4065,138748,89167
4066,108410,78026
4067,130494,76267
4068,121705,76726
4069,133248,83731
4070,100126,76504
4073,105300,78965
4074,92932,70464
4075,105668,78222
